Round,CorrectRate,IncorrectRate,UndeterRate,ActiveSensorRate,ActiveAgentRate,DeterminedSensorRate,StepMessageSize,SensorSize,CorrectSensorSizeRate,NetworkSize,FinalSteps,AverageWeight,VarWeight,SimpsonsD,BetterSimpsonD,BadCommunityCorrectRate,BadCommunityIncorrectRate,BadCommunityUndeterRate,NormalCommunityCorrectRate,NormalCommunityIncorrectRate,NormalCommunityUndeterRate,0,1
0,0.04,0.01,0.95,200,25,1,225,5,0.8,100,2000,0.434621526388889,0.0235172624451472,0.9983,0.049915,0,0.0435,0.9565,0.0519,0,0.9481,0.04,0.01
1,0.05,0.02,0.93,200,20,1,220,5,0.8,100,2000,0.444298,0.023440036996,0.9971,0.069797,0,0.087,0.913,0.0649,0,0.9351,0.05,0.02
2,0.06,0.02,0.92,200,27,1,228,5,0.8,100,2000,0.453797,0.024589672491,0.996,0.07968,0,0.087,0.913,0.0779,0,0.9221,0.06,0.02
3,0.06,0.02,0.92,200,24,1,225,5,0.8,100,2000,0.460497,0.025354222691,0.996,0.07968,0,0.087,0.913,0.0779,0,0.9221,0.06,0.02
4,0.08,0.02,0.9,200,25,1,228,5,0.8,100,2000,0.470499,0.026436780899,0.9932,0.09932,0,0.087,0.913,0.1039,0,0.8961,0.08,0.02
5,0.09,0.02,0.89,200,28,1,234,5,0.8,100,2000,0.481799,0.028801073499,0.9915,0.109065,0,0.087,0.913,0.1169,0,0.8831,0.09,0.02
6,0.13,0.03,0.84,200,49,1,255,5,0.8,100,2000,0.495499,0.032747830899,0.9822,0.157152,0,0.087,0.913,0.1688,0.013,0.8182,0.13,0.03
7,0.16,0.02,0.82,200,55,1,263,5,0.8,100,2000,0.505099,0.033464010099,0.974,0.17532,0,0.087,0.913,0.2078,0,0.7922,0.16,0.02
8,0.22,0.04,0.74,200,91,1,302,5,0.6,100,2000,0.520099,0.037621040099,0.95,0.247,0,0.1304,0.8696,0.2857,0.013,0.7013,0.22,0.04
9,0.25,0.04,0.71,200,84,1,306,5,0.8,100,2000,0.545799,0.040993601499,0.9359,0.271411,0,0.1304,0.8696,0.3247,0.013,0.6623,0.25,0.04
10,0.29,0.04,0.67,200,88,1,312,5,0.8,100,2000,0.564899,0.044772089699,0.9143,0.301719,0,0.1739,0.8261,0.3766,0,0.6234,0.29,0.04
11,0.3,0.05,0.65,200,99,1,321,5,0.8,100,2000,0.584599,0.049999919099,0.9075,0.317625,0,0.2174,0.7826,0.3896,0,0.6104,0.3,0.05
12,0.35,0.05,0.6,200,130,1,359,5,0.8,100,2000,0.608799,0.052044527499,0.875,0.35,0,0.2174,0.7826,0.4545,0,0.5455,0.35,0.05
13,0.36,0.08,0.56,200,143,1,375,5,0.8,100,2000,0.641199,0.048477012299,0.864,0.38016,0,0.3478,0.6522,0.4675,0,0.5325,0.36,0.08
14,0.49,0.11,0.4,200,174,1,428,5,0.8,100,2000,0.685099,0.049236150099,0.7478,0.44868,0,0.4783,0.5217,0.6364,0,0.3636,0.49,0.11
15,0.35,0.18,0.47,200,143,1,389,5,0.8,100,2000,0.713799,0.048178497499,0.8451,0.447903,0,0.5217,0.4783,0.4545,0.0779,0.4675,0.35,0.18
16,0.53,0.15,0.32,200,206,1,465,5,0.8,100,2000,0.734199,0.045481358299,0.6966,0.473688,0,0.6522,0.3478,0.6883,0,0.3117,0.53,0.15
17,0.5,0.27,0.23,200,230,1,496,5,0.8,100,2000,0.761399,0.041878512699,0.6771,0.521367,0,0.7391,0.2609,0.6494,0.1299,0.2208,0.5,0.27
