Round,CorrectRate,IncorrectRate,UndeterRate,ActiveSensorRate,ActiveAgentRate,DeterminedSensorRate,StepMessageSize,SensorSize,CorrectSensorSizeRate,NetworkSize,FinalSteps,AverageWeight,VarWeight,SimpsonsD,BetterSimpsonD,BadCommunityCorrectRate,BadCommunityIncorrectRate,BadCommunityUndeterRate,NormalCommunityCorrectRate,NormalCommunityIncorrectRate,NormalCommunityUndeterRate,0,1
0,0.04,0.01,0.95,200,25,1,225,5,0.8,100,2000,0.434368973391813,0.0234926259733723,0.9983,0.049915,0,0.0435,0.9565,0.0519,0,0.9481,0.04,0.01
1,0.05,0.02,0.93,200,20,1,220,5,0.8,100,2000,0.444298,0.023440036996,0.9971,0.069797,0,0.087,0.913,0.0649,0,0.9351,0.05,0.02
2,0.06,0.02,0.92,200,27,1,228,5,0.8,100,2000,0.453797,0.024589672491,0.996,0.07968,0,0.087,0.913,0.0779,0,0.9221,0.06,0.02
3,0.06,0.02,0.92,200,24,1,225,5,0.8,100,2000,0.460497,0.025354222691,0.996,0.07968,0,0.087,0.913,0.0779,0,0.9221,0.06,0.02
4,0.08,0.02,0.9,200,25,1,228,5,0.8,100,2000,0.470499,0.026436780899,0.9932,0.09932,0,0.087,0.913,0.1039,0,0.8961,0.08,0.02
5,0.09,0.02,0.89,200,28,1,234,5,0.8,100,2000,0.481799,0.028801073499,0.9915,0.109065,0,0.087,0.913,0.1169,0,0.8831,0.09,0.02
6,0.13,0.03,0.84,200,49,1,255,5,0.8,100,2000,0.495699,0.032857631299,0.9822,0.157152,0,0.087,0.913,0.1688,0.013,0.8182,0.13,0.03
7,0.16,0.03,0.81,200,58,1,267,5,0.8,100,2000,0.506799,0.034685123499,0.9735,0.184965,0,0.1304,0.8696,0.2078,0,0.7922,0.16,0.03
8,0.22,0.04,0.74,200,91,1,302,5,0.6,100,2000,0.521499,0.037495082899,0.95,0.247,0,0.1304,0.8696,0.2857,0.013,0.7013,0.22,0.04
9,0.25,0.05,0.7,200,86,1,308,5,0.8,100,2000,0.549099,0.041684098099,0.935,0.2805,0,0.1739,0.8261,0.3247,0.013,0.6623,0.25,0.05
10,0.29,0.04,0.67,200,88,1,312,5,0.8,100,2000,0.567799,0.044980845499,0.9143,0.301719,0,0.1739,0.8261,0.3766,0,0.6234,0.29,0.04
11,0.3,0.05,0.65,200,99,1,321,5,0.8,100,2000,0.586499,0.050214212899,0.9075,0.317625,0,0.2174,0.7826,0.3896,0,0.6104,0.3,0.05
12,0.35,0.07,0.58,200,136,1,365,5,0.8,100,2000,0.611999,0.052518613899,0.8726,0.366492,0,0.3043,0.6957,0.4545,0,0.5455,0.35,0.07
13,0.36,0.11,0.53,200,150,1,386,5,0.8,100,2000,0.647999,0.049663825899,0.8583,0.403401,0,0.4783,0.5217,0.4675,0,0.5325,0.36,0.11
14,0.49,0.11,0.4,200,174,1,428,5,0.8,100,2000,0.689299,0.049732518499,0.7478,0.44868,0,0.4783,0.5217,0.6364,0,0.3636,0.49,0.11
15,0.35,0.19,0.46,200,140,1,391,5,0.8,100,2000,0.718599,0.048431947099,0.8414,0.454356,0,0.5652,0.4348,0.4545,0.0779,0.4675,0.35,0.19
16,0.53,0.16,0.31,200,208,1,468,5,0.8,100,2000,0.738799,0.044684487499,0.6935,0.478515,0,0.6957,0.3043,0.6883,0,0.3117,0.53,0.16
17,0.11,0.6,0.29,200,216,1,474,5,0.8,100,2000,0.765999,0.040689401899,0.6279,0.445809,0,0.7391,0.2609,0.1429,0.5584,0.2987,0.11,0.6
18,0.94,0.01,0.05,200,273,1,577,5,0.8,100,2000,0.7901,0.036036,0.1163,0.110485,0.9565,0.0435,0,0.9351,0,0.0649,0.94,0.01
19,0.99,0.01,0,200,274,1,590,5,0.8,100,2000,0.8203,0.02899996,0.0198,0.0198,0.9565,0.0435,0,1,0,0,0.99,0.01
20,0.04,0.95,0.01,200,266,1,595,5,0.8,100,2000,0.8355,0.02547284,0.0959,0.094941,0,1,0,0.0519,0.9351,0.013,0.04,0.95
21,0.99,0.01,0,200,246,1,590,5,0.8,100,2000,0.8571,0.020383,0.0198,0.0198,0.9565,0.0435,0,1,0,0,0.99,0.01
22,0.99,0.01,0,200,245,1,588,5,0.8,100,2000,0.8705,0.01821784,0.0198,0.0198,0.9565,0.0435,0,1,0,0,0.99,0.01
23,0.99,0.01,0,200,249,1,588,5,0.8,100,2000,0.8787,0.01722604,0.0198,0.0198,0.9565,0.0435,0,1,0,0,0.99,0.01
24,0.03,0.96,0.01,200,245,1,591,5,0.6,100,2000,0.8797,0.01733984,0.0775,0.076725,0,1,0,0.039,0.9481,0.013,0.03,0.96
25,0.99,0.01,0,200,253,1,596,5,0.8,100,2000,0.8796,0.01708275,0.0198,0.0198,0.9565,0.0435,0,1,0,0,0.99,0.01
26,0.99,0.01,0,200,248,1,590,5,0.8,100,2000,0.8799,0.01678396,0.0198,0.0198,0.9565,0.0435,0,1,0,0,0.99,0.01
27,0.99,0.01,0,200,254,1,598,5,0.8,100,2000,0.8804,0.01626891,0.0198,0.0198,0.9565,0.0435,0,1,0,0,0.99,0.01
28,0.99,0.01,0,200,241,1,590,5,0.8,100,2000,0.8807,0.01604364,0.0198,0.0198,0.9565,0.0435,0,1,0,0,0.99,0.01
29,0.99,0.01,0,200,242,1,590,5,0.8,100,2000,0.8814,0.01540531,0.0198,0.0198,0.9565,0.0435,0,1,0,0,0.99,0.01
30,0.99,0.01,0,200,243,1,588,5,0.8,100,2000,0.882,0.01495339,0.0198,0.0198,0.9565,0.0435,0,1,0,0,0.99,0.01
31,0.99,0.01,0,200,239,1,588,5,0.8,100,2000,0.8827,0.01445324,0.0198,0.0198,0.9565,0.0435,0,1,0,0,0.99,0.01
32,0.99,0.01,0,200,235,1,591,5,0.8,100,2000,0.8793,0.01407536,0.0198,0.0198,0.9565,0.0435,0,1,0,0,0.99,0.01
33,0.99,0.01,0,200,238,1,590,5,0.8,100,2000,0.8801,0.01374,0.0198,0.0198,0.9565,0.0435,0,1,0,0,0.99,0.01
34,0.04,0.95,0.01,200,253,1,591,5,0.8,100,2000,0.8817,0.01344944,0.0959,0.094941,0,1,0,0.0519,0.9351,0.013,0.04,0.95
35,0.03,0.97,0,200,262,1,598,5,0.6,100,2000,0.8824,0.01334571,0.0582,0.0582,0,1,0,0.039,0.961,0,0.03,0.97
36,0.99,0.01,0,200,238,1,590,5,0.8,100,2000,0.8824,0.01334571,0.0198,0.0198,0.9565,0.0435,0,1,0,0,0.99,0.01
37,0.99,0.01,0,200,229,1,588,5,0.8,100,2000,0.8824,0.01334571,0.0198,0.0198,0.9565,0.0435,0,1,0,0,0.99,0.01
38,0.99,0.01,0,200,231,1,590,5,0.8,100,2000,0.8824,0.01334571,0.0198,0.0198,0.9565,0.0435,0,1,0,0,0.99,0.01
39,0.99,0.01,0,200,234,1,590,5,0.8,100,2000,0.8824,0.01334571,0.0198,0.0198,0.9565,0.0435,0,1,0,0,0.99,0.01
40,0.99,0.01,0,200,241,1,588,5,0.8,100,2000,0.8712,0.01518179,0.0198,0.0198,0.9565,0.0435,0,1,0,0,0.99,0.01
41,0.04,0.94,0.02,200,262,1,593,5,0.8,100,2000,0.8695,0.01586164,0.1148,0.112504,0,1,0,0.0519,0.9221,0.026,0.04,0.94
42,0.04,0.96,0,200,258,1,604,5,0.8,100,2000,0.8716,0.01550275,0.0768,0.0768,0,1,0,0.0519,0.9481,0,0.04,0.96
43,0.98,0.02,0,200,245,1,594,5,0.6,100,2000,0.8716,0.01550275,0.0392000000000001,0.0392000000000001,0.9565,0.0435,0,0.987,0.013,0,0.98,0.02
44,0.04,0.95,0.01,200,262,1,593,5,0.8,100,2000,0.8716,0.01550275,0.0959,0.094941,0,1,0,0.0519,0.9351,0.013,0.04,0.95
45,0.99,0.01,0,200,236,1,590,5,0.8,100,2000,0.8729,0.01527616,0.0198,0.0198,0.9565,0.0435,0,1,0,0,0.99,0.01
46,0.99,0.01,0,200,238,1,590,5,0.8,100,2000,0.8729,0.01527616,0.0198,0.0198,0.9565,0.0435,0,1,0,0,0.99,0.01
47,0.99,0.01,0,200,241,1,588,5,0.8,100,2000,0.8729,0.01527616,0.0198,0.0198,0.9565,0.0435,0,1,0,0,0.99,0.01
48,0.99,0.01,0,200,251,1,588,5,0.8,100,2000,0.8582,0.01854939,0.0198,0.0198,0.9565,0.0435,0,1,0,0,0.99,0.01
