Round,CorrectRate,IncorrectRate,UndeterRate,ActiveSensorRate,ActiveAgentRate,DeterminedSensorRate,StepMessageSize,SensorSize,CorrectSensorSizeRate,NetworkSize,FinalSteps,AverageWeight,VarWeight,SimpsonsD,BetterSimpsonD,BadCommunityCorrectRate,BadCommunityIncorrectRate,BadCommunityUndeterRate,NormalCommunityCorrectRate,NormalCommunityIncorrectRate,NormalCommunityUndeterRate,0,1
0,0.05,0,0.95,200,22,1,222,5,1,100,2000,0.437007095238095,0.0230317803789872,0.9975,0.049875,NaN,NaN,NaN,0.05,0,0.95,0.05,0
1,0.05,0,0.95,200,32,1,232,5,1,100,2000,0.443398,0.022205823396,0.9975,0.049875,NaN,NaN,NaN,0.05,0,0.95,0.05,0
2,0.07,0.01,0.92,200,43,1,243,5,0.8,100,2000,0.456597,0.024689109291,0.995,0.0796,NaN,NaN,NaN,0.07,0.01,0.92,0.07,0.01
3,0.06,0.03,0.91,200,36,1,239,5,1,100,2000,0.466897,0.025258141091,0.9955,0.089595,NaN,NaN,NaN,0.06,0.03,0.91,0.06,0.03
4,0.1,0.03,0.87,200,65,1,269,5,0.8,100,2000,0.481698,0.028349066596,0.9891,0.128583,NaN,NaN,NaN,0.1,0.03,0.87,0.1,0.03
5,0.09,0.04,0.87,200,49,1,252,5,0.6,100,2000,0.488298,0.027226292996,0.9903,0.128739,NaN,NaN,NaN,0.09,0.04,0.87,0.09,0.04
6,0.13,0,0.87,200,46,1,249,5,1,100,2000,0.503199,0.029104196299,0.9831,0.127803,NaN,NaN,NaN,0.13,0,0.87,0.13,0
7,0.16,0,0.84,200,50,1,254,5,1,100,2000,0.512699,0.031214065299,0.9744,0.155904,NaN,NaN,NaN,0.16,0,0.84,0.16,0
8,0.17,0.01,0.82,200,70,1,276,5,1,100,2000,0.5309,0.03319136,0.971,0.17478,NaN,NaN,NaN,0.17,0.01,0.82,0.17,0.01
9,0.15,0.11,0.74,200,93,1,308,5,1,100,2000,0.5521,0.035192,0.9654,0.251004,NaN,NaN,NaN,0.15,0.11,0.74,0.15,0.11
10,0.12,0.11,0.77,200,73,1,282,5,0.8,100,2000,0.5722,0.03577859,0.9735,0.223905,NaN,NaN,NaN,0.12,0.11,0.77,0.12,0.11
